,YYYYMMDD,DR,RH,RHX
0,19300101,41.0,43.0,15.0
1,19300102,18.0,30.0,15.0
2,19300103,3.0,2.0,1.0
3,19300104,3.0,3.0,3.0
4,19300105,5.0,5.0,2.0
5,19300106,0.0,0.0,0.0
6,19300107,0.0,0.0,0.0
7,19300108,23.0,10.0,4.0
8,19300109,7.0,4.0,1.0
9,19300110,6.0,4.0,4.0
10,19300111,67.0,90.0,20.0
11,19300112,32.0,38.0,13.0
12,19300113,0.0,0.0,0.0
13,19300114,0.0,0.0,0.0
14,19300115,4.0,2.0,2.0
15,19300116,0.0,0.0,0.0
16,19300117,0.0,1.0,1.0
17,19300118,0.0,0.0,0.0
18,19300119,0.0,0.0,0.0
19,19300120,24.0,14.0,6.0
20,19300121,0.0,2.0,1.0
21,19300122,0.0,0.0,0.0
22,19300123,0.0,0.0,0.0
23,19300124,0.0,1.0,1.0
24,19300125,6.0,8.0,4.0
25,19300126,4.0,3.0,1.0
26,19300127,0.0,0.0,0.0
27,19300128,0.0,0.0,0.0
28,19300129,0.0,0.0,0.0
29,19300130,27.0,18.0,8.0
30,19300131,0.0,1.0,1.0
31,19300201,0.0,3.0,1.0
32,19300202,3.0,4.0,2.0
33,19300203,0.0,1.0,1.0
34,19300204,28.0,18.0,4.0
35,19300205,73.0,78.0,20.0
36,19300206,0.0,1.0,1.0
37,19300207,0.0,0.0,0.0
38,19300208,0.0,0.0,0.0
39,19300209,0.0,0.0,0.0
40,19300210,0.0,2.0,1.0
41,19300211,0.0,1.0,1.0
42,19300212,0.0,0.0,0.0
43,19300213,0.0,0.0,0.0
44,19300214,0.0,2.0,1.0
45,19300215,26.0,29.0,16.0
46,19300216,18.0,20.0,7.0
47,19300217,8.0,4.0,2.0
48,19300218,0.0,0.0,0.0
49,19300219,0.0,0.0,0.0
50,19300220,0.0,0.0,0.0
51,19300221,0.0,0.0,0.0
52,19300222,0.0,0.0,0.0
53,19300223,0.0,0.0,0.0
54,19300224,0.0,0.0,0.0
55,19300225,0.0,0.0,0.0
56,19300226,0.0,0.0,0.0
57,19300227,0.0,0.0,0.0
58,19300228,0.0,0.0,0.0
59,19300301,0.0,0.0,0.0
60,19300302,0.0,1.0,1.0
61,19300303,0.0,0.0,0.0
62,19300304,0.0,0.0,0.0
63,19300305,0.0,0.0,0.0
64,19300306,0.0,0.0,0.0
65,19300307,2.0,3.0,3.0
66,19300308,0.0,0.0,0.0
67,19300309,0.0,0.0,0.0
68,19300310,42.0,21.0,6.0
69,19300311,8.0,4.0,2.0
70,19300312,9.0,27.0,17.0
71,19300313,32.0,42.0,17.0
72,19300314,72.0,59.0,14.0
73,19300315,0.0,0.0,0.0
74,19300316,41.0,59.0,19.0
75,19300317,0.0,0.0,0.0
76,19300318,2.0,4.0,2.0
77,19300319,11.0,26.0,20.0
78,19300320,3.0,2.0,1.0
79,19300321,0.0,0.0,0.0
80,19300322,5.0,8.0,5.0
81,19300323,0.0,0.0,0.0
82,19300324,0.0,0.0,0.0
83,19300325,3.0,1.0,1.0
84,19300326,1.0,1.0,1.0
85,19300327,0.0,0.0,0.0
86,19300328,0.0,0.0,0.0
87,19300329,7.0,5.0,5.0
88,19300330,0.0,0.0,0.0
89,19300331,0.0,0.0,0.0
90,19300401,0.0,0.0,0.0
91,19300402,0.0,0.0,0.0
92,19300403,0.0,1.0,1.0
93,19300404,0.0,0.0,0.0
94,19300405,0.0,0.0,0.0
95,19300406,12.0,4.0,2.0
96,19300407,1.0,1.0,1.0
97,19300408,0.0,0.0,0.0
98,19300409,0.0,0.0,0.0
99,19300410,0.0,0.0,0.0
100,19300411,0.0,0.0,0.0
101,19300412,13.0,8.0,4.0
102,19300413,37.0,38.0,11.0
103,19300414,0.0,1.0,1.0
104,19300415,0.0,0.0,0.0
105,19300416,96.0,85.0,13.0
106,19300417,50.0,28.0,8.0
107,19300418,18.0,17.0,6.0
108,19300419,0.0,0.0,0.0
109,19300420,0.0,0.0,0.0
110,19300421,0.0,0.0,0.0
111,19300422,8.0,9.0,6.0
112,19300423,0.0,0.0,0.0
113,19300424,10.0,43.0,39.0
114,19300425,0.0,0.0,0.0
115,19300426,0.0,0.0,0.0
116,19300427,0.0,0.0,0.0
117,19300428,0.0,0.0,0.0
118,19300429,0.0,0.0,0.0
119,19300430,0.0,0.0,0.0
120,19300501,0.0,0.0,0.0
121,19300502,0.0,0.0,0.0
122,19300503,0.0,0.0,0.0
123,19300504,1.0,2.0,2.0
124,19300505,0.0,0.0,0.0
125,19300506,65.0,96.0,31.0
126,19300507,3.0,2.0,1.0
127,19300508,21.0,14.0,7.0
128,19300509,3.0,7.0,5.0
129,19300510,45.0,35.0,13.0
130,19300511,28.0,21.0,9.0
131,19300512,28.0,37.0,24.0
132,19300513,5.0,3.0,3.0
133,19300514,16.0,12.0,6.0
134,19300515,0.0,1.0,1.0
135,19300516,0.0,0.0,0.0
136,19300517,0.0,0.0,0.0
137,19300518,23.0,29.0,12.0
138,19300519,0.0,0.0,0.0
139,19300520,1.0,2.0,2.0
140,19300521,0.0,0.0,0.0
141,19300522,29.0,44.0,12.0
142,19300523,0.0,0.0,0.0
143,19300524,18.0,75.0,63.0
144,19300525,22.0,46.0,30.0
145,19300526,0.0,0.0,0.0
146,19300527,3.0,8.0,5.0
147,19300528,0.0,0.0,0.0
148,19300529,0.0,0.0,0.0
149,19300530,0.0,0.0,0.0
150,19300531,21.0,82.0,43.0
151,19300601,12.0,60.0,47.0
152,19300602,0.0,0.0,0.0
153,19300603,5.0,4.0,2.0
154,19300604,0.0,0.0,0.0
155,19300605,0.0,0.0,0.0
156,19300606,0.0,0.0,0.0
157,19300607,0.0,0.0,0.0
158,19300608,0.0,0.0,0.0
159,19300609,0.0,0.0,0.0
160,19300610,0.0,0.0,0.0
161,19300611,0.0,0.0,0.0
162,19300612,3.0,2.0,2.0
163,19300613,0.0,0.0,0.0
164,19300614,0.0,0.0,0.0
165,19300615,0.0,0.0,0.0
166,19300616,0.0,0.0,0.0
167,19300617,0.0,0.0,0.0
168,19300618,0.0,0.0,0.0
169,19300619,0.0,0.0,0.0
170,19300620,0.0,0.0,0.0
171,19300621,0.0,0.0,0.0
172,19300622,16.0,36.0,17.0
173,19300623,0.0,0.0,0.0
174,19300624,8.0,29.0,14.0
175,19300625,15.0,56.0,37.0
176,19300626,1.0,2.0,2.0
177,19300627,64.0,475.0,229.0
178,19300628,0.0,0.0,0.0
179,19300629,0.0,0.0,0.0
180,19300630,0.0,0.0,0.0
181,19300701,0.0,1.0,1.0
182,19300702,13.0,139.0,100.0
183,19300703,10.0,46.0,33.0
184,19300704,11.0,108.0,102.0
185,19300705,3.0,2.0,2.0
186,19300706,0.0,0.0,0.0
187,19300707,0.0,0.0,0.0
188,19300708,0.0,0.0,0.0
189,19300709,0.0,1.0,1.0
190,19300710,0.0,0.0,0.0
191,19300711,26.0,124.0,51.0
192,19300712,132.0,448.0,116.0
193,19300713,0.0,0.0,0.0
194,19300714,25.0,78.0,41.0
195,19300715,8.0,33.0,33.0
196,19300716,47.0,91.0,33.0
197,19300717,28.0,26.0,12.0
198,19300718,9.0,31.0,28.0
199,19300719,39.0,195.0,88.0
200,19300720,4.0,64.0,64.0
201,19300721,30.0,56.0,23.0
202,19300722,93.0,131.0,22.0
203,19300723,71.0,95.0,29.0
204,19300724,2.0,1.0,1.0
205,19300725,2.0,2.0,2.0
206,19300726,1.0,4.0,4.0
207,19300727,0.0,0.0,0.0
208,19300728,12.0,75.0,72.0
209,19300729,26.0,75.0,19.0
210,19300730,56.0,91.0,24.0
211,19300731,3.0,3.0,2.0
212,19300801,0.0,0.0,0.0
213,19300802,0.0,1.0,1.0
214,19300803,12.0,36.0,24.0
215,19300804,46.0,52.0,16.0
216,19300805,1.0,3.0,2.0
217,19300806,26.0,83.0,46.0
218,19300807,5.0,32.0,19.0
219,19300808,3.0,33.0,30.0
220,19300809,5.0,17.0,15.0
221,19300810,28.0,69.0,46.0
222,19300811,83.0,55.0,13.0
223,19300812,3.0,24.0,21.0
224,19300813,56.0,144.0,35.0
225,19300814,91.0,203.0,46.0
226,19300815,45.0,82.0,18.0
227,19300816,4.0,6.0,4.0
228,19300817,0.0,0.0,0.0
229,19300818,0.0,0.0,0.0
230,19300819,0.0,0.0,0.0
231,19300820,0.0,0.0,0.0
232,19300821,21.0,136.0,98.0
233,19300822,0.0,0.0,0.0
234,19300823,18.0,19.0,11.0
235,19300824,0.0,0.0,0.0
236,19300825,0.0,0.0,0.0
237,19300826,0.0,0.0,0.0
238,19300827,0.0,0.0,0.0
239,19300828,0.0,0.0,0.0
240,19300829,0.0,0.0,0.0
241,19300830,0.0,0.0,0.0
